,X.2,X.1,X,AA,file,label,Duration,F1.5,F2.5,F3.5,F4.5,F5.5,F1.10,F2.10,F3.10,F4.10,F5.10,F1.15,F2.15,F3.15,F4.15,F5.15,F1.20,F2.20,F3.20,F4.20,F5.20,F1.25,F2.25,F3.25,F4.25,F5.25,F1.30,F2.30,F3.30,F4.30,F5.30,F1.35,F2.35,F3.35,F4.35,F5.35,F1.40,F2.40,F3.40,F4.40,F5.40,F1.45,F2.45,F3.45,F4.45,F5.45,F1.50,F2.50,F3.50,F4.50,F5.50,F1.55,F2.55,F3.55,F4.55,F5.55,F1.60,F2.60,F3.60,F4.60,F5.60,F1.65,F2.65,F3.65,F4.65,F5.65,F1.70,F2.70,F3.70,F4.70,F5.70,F1.75,F2.75,F3.75,F4.75,F5.75,F1.80,F2.80,F3.80,F4.80,F5.80,F1.85,F2.85,F3.85,F4.85,F5.85,F1.90,F2.90,F3.90,F4.90,F5.90,F1.95,F2.95,F3.95,F4.95,F5.95,X2,aa,file.1,label.1,duration,f0_min,f0_mean,f0_max,int_min,int_mean,int_max,F1,F2,F3,Keyword,Speaker,Variety,Segment,Selection,Position,Stress
1398,1398,5592,5592,5592,λισά_exp2_andri_louka_mono_98,l,0.093001425,557.6930108,1683.407376,2993.133878,3706.875335,3706.875335,573.1789906,1761.02383,3044.469699,3504.586859,4486.985827,580.5793786,1578.546994,3034.212582,3533.657038,4477.184591,588.0829184,1401.941151,3022.6113,3562.454319,4467.943731,597.8818997,1355.982739,2981.098253,3585.178779,4471.172948,607.680881,1310.024327,2939.585205,3607.903238,4474.402165,605.5191491,1291.53673,2950.097688,3652.415047,4475.783168,601.9167777,1276.357928,2966.876523,3699.551092,4476.941559,582.546309,1447.490817,2980.545819,3709.652068,4472.187883,557.6930108,1683.407376,2993.133878,3706.875335,4465.378484,549.9926915,1807.887867,2973.672363,3729.478844,4452.883753,554.1389508,1855.405857,2932.076047,3769.611029,4436.46249,559.2409736,1996.423021,2923.571713,3922.273081,4427.28278,565.5545641,2255.963839,2957.016225,4217.582924,NA,566.3351428,2236.599345,2935.110761,4247.591541,NA,553.601019,1535.992434,2778.009769,3629.586511,4468.272345,540.5530074,1026.881127,2665.871266,3183.036206,4468.272345,525.576459,1694.324984,2829.983738,4396.782301,NA,510.5999107,2361.768841,2994.096211,4396.782301,NA,788,521,λισά_exp2_andri_louka_mono_98,l,93,252,274,281,50,54,57,573,1921,2993,lisa1,s6,CG,l,l,Initial,Unstressed
1436,1436,5748,5748,5748,μάσα_exp2_andri_louka_mono_20,m,0.098565456,328.5606852,1294.711503,2371.764582,3106.849721,3106.849721,1006.653696,2012.316255,3042.6344,4305.237402,NA,760.0600052,1785.267128,2929.605159,3858.803145,NA,462.1557232,1443.764621,2738.71175,3261.513175,4237.393453,366.9331812,1342.897826,2613.424289,3116.772133,4299.814141,348.9268116,1333.706622,2513.130891,3144.439794,4386.015397,338.3860363,1305.220412,2430.678864,3137.394966,4387.19966,331.1212366,1268.267366,2356.055803,3115.117961,4351.077641,328.6407964,1271.427081,2347.369777,3107.345381,4351.991958,328.5606852,1294.711503,2371.764582,3106.849721,4371.48753,330.3523772,1321.941667,2474.450153,3114.07314,4391.313937,333.211646,1351.422274,2621.788607,3125.699109,4411.329035,334.0638199,1370.01445,2645.555994,3109.335811,4434.261149,333.6202812,1381.577425,2589.550084,3074.90359,4459.076389,329.5655865,1402.421869,2597.709345,3060.766687,4466.415875,322.8806915,1430.026508,2652.60357,3061.411964,4461.026823,324.8242813,1454.716846,2676.68419,3043.317633,4489.19905,333.8424811,1477.017708,2675.500323,3204.16873,4579.685911,363.4771327,1448.765713,2595.764893,3204.16873,4579.685911,1022,677,μάσα_exp2_andri_louka_mono_20,m,99,256,259,272,50,56,59,459,1424,2656,masa,s6,CG,m,m,Initial,Stressed
1437,1437,5752,5752,5752,μάσα_exp2_andri_louka_mono_221,m,0.105405722,294.319664,1435.403123,2729.045713,4135.79141,4135.79141,654.4086693,1517.974804,2549.250612,4125.329749,NA,363.840894,1505.954983,2583.721852,4134.924459,NA,279.8934262,1506.372675,2606.124649,4131.24636,NA,295.3859658,1512.77616,2622.719275,4121.180465,NA,295.9469649,1479.01399,2615.925519,4137.553664,NA,292.2390628,1433.76853,2602.445067,4161.485753,NA,287.8478983,1404.360613,2670.715491,4142.439959,NA,283.3637701,1377.107529,2750.108821,4117.546655,NA,294.319664,1435.403123,2729.045713,4135.79141,NA,304.7376562,1488.738725,2703.386483,4153.591819,NA,306.4994086,1472.90497,2647.316863,4158.54712,4328.418032,309.5309858,1454.420184,2594.645198,4154.44891,4328.418032,318.0490759,1424.48113,2556.655022,4111.233339,NA,325.5466398,1404.926624,2551.921176,4091.403344,NA,330.551919,1410.732812,2628.404493,4128.684588,NA,359.5596312,1428.660119,2691.585239,4149.975206,NA,425.626541,1465.302151,2734.227126,4086.017322,NA,553.1672184,1467.353473,2728.119419,4086.017322,NA,1028,681,μάσα_exp2_andri_louka_mono_221,m,105,250,255,268,50,54,55,418,1464,2642,masa,s6,CG,m,m,Initial,Stressed
1477,1477,5912,5912,5912,μίσα_exp2_andri_louka_mono_271,m,0.115426333,412.159776,1673.769634,2740.595975,4037.581682,4037.581682,471.1579918,1669.149563,2649.822023,3919.793045,NA,439.865432,1667.797346,2657.251086,3854.400873,NA,409.7812554,1659.599897,2670.165795,3799.408277,NA,432.2017077,1677.794973,2711.237118,3886.18207,NA,444.0359943,1682.832939,2737.508208,3950.781643,NA,437.0520305,1664.482477,2737.470012,3975.963732,NA,428.9817087,1667.886126,2732.241484,4031.247531,NA,420.2659801,1684.21392,2723.929373,4104.414794,NA,412.159776,1673.769634,2740.595975,4037.581682,NA,406.3628941,1665.103018,2756.499168,4003.176179,NA,412.1489282,1681.966318,2753.216681,4222.020325,NA,417.9394885,1718.294655,2745.999843,4341.820591,NA,423.7360684,1780.510688,2733.55048,4329.896576,NA,427.0229059,1727.456923,2723.622624,4437.425984,NA,429.2160465,1624.170824,2714.793592,4597.010869,NA,432.1840226,1584.932722,2724.918725,3614.053375,4730.813759,446.7677544,1614.554246,2725.105396,3586.319605,NA,499.907912,1865.307402,2689.849739,3586.319605,NA,1268,841,μίσα_exp2_andri_louka_mono_271,m,115,266,271,280,53,54,54,445,1717,2710,misa,s6,CG,m,m,Initial,Stressed
1478,1478,5916,5916,5916,μίσα_exp2_andri_louka_mono_69,m,0.136300503,358.6223769,1430.199802,2760.79927,2810.569939,2810.569939,410.971877,1538.707615,2629.54955,3983.125191,NA,368.5642474,1545.633579,2634.772282,4190.678388,NA,338.9499474,1558.896744,2665.39843,4366.84061,NA,343.745093,1526.969509,2677.318862,4211.058177,4404.687546,340.1092988,1552.954635,2692.650133,4326.278005,NA,335.9511366,1559.582999,2713.642483,4150.238233,NA,335.7932459,1488.667229,2744.907904,3173.443942,4675.771716,343.8029507,1462.352755,2750.945639,2904.63963,4723.063745,358.6223769,1430.199802,2760.79927,2810.569939,4772.649196,382.1594724,1375.326704,2784.343348,2792.941317,4812.011398,412.2591394,1371.139089,2748.255305,2873.245452,4741.611521,421.4034733,1376.503496,2727.134795,2890.428394,4704.054968,403.6121504,1387.701583,2731.849876,2817.091992,4720.657668,392.4520304,1373.868182,2727.468674,2871.815679,4737.141236,387.3231383,1436.084442,2721.204109,2919.214588,4750.718248,388.183821,1567.726193,2714.002605,2954.461055,4757.171194,396.7647248,1606.91274,2721.780488,3520.938947,4628.367096,439.0759758,1828.307439,2737.68434,3520.938947,4628.367096,1274,845,μίσα_exp2_andri_louka_mono_69,m,136,262,267,275,54,55,56,390,1545,2728,misa,s6,CG,m,m,Initial,Stressed
1518,1518,6076,6076,6076,μασά_exp2_andri_louka_mono_247,m,0.095498695,497.8788207,1569.383881,2949.587464,3763.133344,3763.133344,858.7027071,1585.933325,2885.487353,4128.645324,NA,935.8029061,1609.8249,3064.054739,4344.360255,NA,990.9789508,1619.601588,3078.709349,4432.883949,NA,1010.460535,1581.369682,3063.642056,4344.421216,NA,1006.817383,1512.035303,3029.319361,4141.297438,NA,889.8005757,1494.325053,2960.132394,4016.410978,NA,664.9755292,1525.704746,2857.792611,3965.92123,NA,523.4857421,1551.45698,2842.893907,3885.404489,NA,497.8788207,1569.383881,2949.587464,3763.133344,NA,472.5520173,1598.326851,2994.236998,3688.91456,NA,447.8095447,1650.249543,2909.46158,3714.933868,NA,429.414108,1686.928326,2850.156383,3765.873595,NA,432.2947391,1672.507599,2876.230593,3900.34972,NA,441.7963799,1651.154861,2884.518795,4013.794292,NA,493.5393711,1585.576618,2779.334124,3993.059746,NA,546.3988877,1522.455523,2681.143369,3973.975134,NA,625.2197854,1516.467875,2745.574732,4012.534158,NA,704.040683,1510.480227,2810.006094,4012.534158,NA,1516,1005,μασά_exp2_andri_louka_mono_247,m,95,252,284,301,51,54,57,704,1496,2737,masa1,s6,CG,m,m,Initial,Unstressed
1519,1519,6080,6080,6080,μασά_exp2_andri_louka_mono_44,m,0.070497649,421.3988888,1533.104218,2561.60548,4184.545576,4184.545576,318.1880757,643.4430543,2347.002001,4017.547383,NA,316.0344753,638.0025231,2316.524262,3988.012096,NA,313.8808748,632.561992,2286.046523,3958.476809,NA,346.6033147,772.9049925,2303.035328,3950.92341,NA,400.3832914,1001.269513,2348.683593,3956.642286,NA,454.1632681,1229.634034,2394.331858,3962.361162,NA,453.1539821,1350.278826,2448.540954,4025.952639,NA,437.2764355,1441.691522,2505.073217,4105.249108,NA,421.3988888,1533.104218,2561.60548,4184.545576,NA,461.5422983,1547.706971,2567.218113,4127.923487,NA,504.6603891,1558.231159,2570.126942,4064.084199,NA,546.348072,1566.265876,2568.84357,4001.323664,NA,576.7631588,1554.681855,2534.522771,3947.064444,NA,607.1782455,1543.097834,2500.201972,3892.805223,NA,636.40394,1532.691384,2460.77469,3851.010301,NA,662.503848,1525.379655,2407.9273,3841.972226,NA,688.6037559,1518.067926,2355.079909,3838.120379,NA,707.1572228,1529.847464,2247.621108,3838.120379,NA,1522,1009,μασά_exp2_andri_louka_mono_44,m,70,251,283,317,32,44,48,512,1275,2410,masa1,s6,CG,m,m,Initial,Unstressed
1559,1559,6240,6240,6240,μισά_exp2_andri_louka_mono_295,m,0.049371071,389.9897458,2560.023082,2827.294462,4632.664527,4632.664527,425.5855324,2556.516771,2694.404594,4530.44948,NA,421.7320972,2553.424103,2715.61827,4515.401788,NA,417.878662,2550.331435,2736.831945,4500.354096,NA,414.0252268,2547.238767,2758.045621,4485.306404,NA,408.0343751,2548.540039,2775.987415,4504.833763,NA,401.0201064,2551.945176,2792.362597,4540.916016,NA,394.0058376,2555.350313,2808.73778,4576.998268,NA,386.9915688,2558.75545,2825.112962,4613.08052,NA,389.9897458,2560.023082,2827.294462,4632.664527,NA,398.9886273,2560.009656,2820.96934,4642.36073,NA,407.9875088,2559.996229,2814.644217,4652.056932,NA,416.9863903,2559.982802,2808.319095,4661.753135,NA,422.8681294,2572.056797,2815.820888,4644.874914,NA,426.4393682,2593.090277,2833.571521,4608.299096,NA,430.010607,2614.123757,2851.322154,4571.723279,NA,433.5818459,2635.157237,2869.072787,4535.147461,NA,434.7071016,2651.579969,2928.841405,4508.652865,NA,433.604667,2663.803443,3026.878095,4508.652865,NA,1762,1169,μισά_exp2_andri_louka_mono_295,m,49,228,244,300,37,50,51,414,2584,2851,misa1,s6,CG,m,m,Initial,Unstressed
1560,1560,6244,6244,6244,μισά_exp2_andri_louka_mono_94,m,0.050664664,442.3559256,1540.999196,2708.764526,4230.231983,4230.231983,421.472159,1437.036031,2756.023286,4209.878919,NA,404.079673,1448.880347,2754.103111,4200.602473,NA,408.240283,1453.767219,2739.495562,4203.895092,NA,413.6789948,1458.241514,2724.13565,4207.933058,NA,419.1177065,1462.715809,2708.775738,4211.971023,NA,424.5564183,1467.190103,2693.415826,4216.008989,NA,430.4884307,1491.746046,2698.484158,4220.748343,NA,436.4221782,1516.372621,2703.624342,4225.490163,NA,442.3559256,1540.999196,2708.764526,4230.231983,NA,447.3749381,1560.88793,2706.911382,4217.024992,NA,434.6294096,1488.765771,2569.244853,3855.244456,NA,421.8838811,1416.643612,2431.578324,3493.46392,4314.474293,409.1383526,1344.521453,2293.911795,3131.683384,4314.474293,397.6326415,1290.096279,2158.468998,2805.004575,4314.119953,397.1085501,1392.421268,2042.722804,2789.237549,4310.627067,396.5844588,1494.746257,1926.97661,2773.470524,4307.13418,396.0603675,1597.071246,1811.230415,2742.115736,4296.100741,395.1157485,1670.244022,1715.944994,2742.115736,4296.100741,1768,1173,μισά_exp2_andri_louka_mono_94,m,51,282,287,290,50,51,52,423,1488,2333,misa1,s6,CG,m,m,Initial,Unstressed
1599,1599,6400,6400,6400,νάσα_exp2_andri_louka_mono_22,n,0.086247929,286.8775997,1752.343271,2691.955934,3152.851247,3152.851247,288.8658565,1693.812958,2428.157737,3177.63335,4518.467243,286.2731745,1688.325866,2457.31396,3213.458325,4487.517088,283.9250592,1707.102195,2491.448792,3214.473522,4536.039547,281.7236395,1740.43218,2528.569886,3194.609159,4632.231174,279.8987618,1762.329361,2586.476452,3181.481533,4707.763381,278.9271703,1758.318534,2691.485203,3183.620103,4736.479051,277.9555787,1754.307708,2796.493954,3185.758672,4765.19472,282.381812,1753.306102,2745.23177,3169.42398,4704.771974,286.8775997,1752.343271,2691.955934,3152.851247,4643.200621,286.6504938,1739.543603,2622.499954,3165.56932,4647.537208,284.0801228,1720.871083,2545.016191,3192.820035,4684.57404,281.5887764,1715.819188,2534.835365,3201.05393,4687.02378,279.2445222,1736.119996,2649.928636,3173.890933,4625.094952,277.0368618,1755.524316,2758.491029,3148.227548,4564.708644,279.157981,1746.518072,2660.083932,3170.088224,4553.206179,281.2791002,1737.511828,2561.676835,3191.948901,4541.703713,309.9226417,1727.050788,2475.559366,3034.477881,4595.020485,349.3104074,1716.000411,2394.42042,3034.477881,4595.020485,2002,1329,νάσα_exp2_andri_louka_mono_22,n,86,245,249,254,53,55,55,296,1726,2523,nasa,s6,CG,n,n,Initial,Stressed
1600,1600,6404,6404,6404,νάσα_exp2_andri_louka_mono_223,n,0.090646145,305.9206257,1659.705605,2846.639813,3507.933747,3507.933747,323.3138909,1471.494016,2580.45251,3511.058103,4705.187535,315.9545184,1502.198692,2592.639061,3519.63744,4685.776772,310.00523,1548.978269,2676.98728,3638.971188,4567.232721,305.0545577,1607.142027,2812.440105,3836.740767,4378.482871,301.7765558,1641.927338,2830.265398,3846.433581,4278.882089,301.2388989,1638.41161,2655.380856,3547.999193,4325.334719,301.2014496,1637.426139,2537.386248,3317.526199,4352.033304,303.5610377,1648.565872,2692.013031,3412.729973,4284.068825,305.9206257,1659.705605,2846.639813,3507.933747,4216.104346,300.0950476,1679.089163,2714.253604,3347.178976,4403.110432,293.9837257,1698.760513,2571.847787,3177.488707,4599.017527,290.6468161,1704.79748,2534.386017,3217.249357,4763.950165,288.186585,1706.526159,2530.085208,3323.193786,4919.095277,284.2532787,1679.17639,2521.111704,3383.699868,4911.27242,279.1316849,1628.369875,2508.368873,3407.552142,4771.987994,277.2763805,1591.650568,2512.02295,3428.55462,4713.279469,281.5644054,1581.42688,2546.516796,3448.790909,4856.8151,290.2474343,1573.796751,2550.523277,3448.790909,4856.8151,2008,1333,νάσα_exp2_andri_louka_mono_223,n,91,252,256,259,51,53,55,310,1589,2596,nasa,s6,CG,n,n,Initial,Stressed
1642,1642,6572,6572,6572,νίσα_exp2_andri_louka_mono_273,n,0.107021136,340.8561527,1178.626492,2383.996706,3077.352026,3077.352026,975.170898,2088.517057,3092.649007,4470.016828,NA,952.4134218,2152.952804,3078.871414,4474.850497,NA,730.0204076,1713.708189,2676.294678,3914.820729,NA,435.7493422,1093.115288,2133.732222,3151.413929,4419.633131,375.6601849,1086.818353,2183.589385,3068.924054,4419.715638,351.6574397,1175.181751,2324.735831,3091.360512,4419.810859,348.7101553,1232.294601,2253.444206,3091.637499,4429.040345,345.576764,1270.181187,2212.960105,3090.180494,4444.228909,340.8561527,1178.626492,2383.996706,3077.352026,4499.545744,339.9842443,1095.763992,2508.60222,3067.555171,4559.425613,350.0600708,1037.626664,2501.133308,3066.381817,4632.28515,359.1648602,1013.463673,2506.295804,3045.995775,4694.612362,366.759249,1042.146094,2531.105834,2995.725341,4740.557061,362.0993742,1070.285011,2552.999485,3013.152715,4792.911996,346.242002,1097.927292,2572.228256,3092.43987,4851.124371,344.1978273,1062.382043,2596.332311,3132.776663,4952.644924,349.4699234,993.3690123,2623.018598,3747.939328,5103.868778,400.2542668,1672.084423,2766.855196,3747.939328,5103.868778,2260,1501,νίσα_exp2_andri_louka_mono_273,n,107,257,259,265,52,55,58,523,1378,2653,nisa,s6,CG,n,n,Initial,Stressed
1643,1643,6576,6576,6576,νίσα_exp2_andri_louka_mono_71,n,0.109936452,330.2256822,384.3645633,2679.027357,3138.167193,3138.167193,340.628611,1928.683074,1980.233728,2891.253057,4318.958379,323.7760162,1932.254625,2081.521522,2885.321443,4361.269199,308.6236535,1901.32604,2285.822247,2883.974273,4416.951139,305.5944895,1939.852973,2338.519365,2886.448647,4434.023778,316.2768834,2056.93536,2219.75005,2893.245254,4407.428596,336.4200058,2150.625276,2379.247152,3191.559632,4398.120986,361.6567743,2231.720711,2688.562594,3646.826866,NA,349.4828187,1394.227269,2712.703315,3456.265174,NA,330.2256822,384.3645633,2679.027357,3138.167193,5042.304216,356.8129152,632.8908721,2667.955461,3161.945472,4930.676476,380.310555,851.4799444,2663.259333,3174.447859,4840.517881,390.8336029,944.3490947,2685.337924,3139.597707,NA,412.9775902,1326.621616,2753.712866,3323.884564,NA,454.6480186,2195.173067,2899.878675,3876.383129,NA,479.86924,2591.116109,2962.952713,4227.574607,NA,491.8405842,2606.371902,2959.096123,4416.612726,NA,504.5099975,2543.306187,2963.138869,4359.157742,NA,517.4315744,2451.94838,2970.035093,4359.157742,NA,2266,1505,νίσα_exp2_andri_louka_mono_71,n,110,253,268,277,54,55,57,395,1922,2617,nisa,s6,CG,n,n,Initial,Stressed
1682,1682,6732,6732,6732,νασά_exp2_andri_louka_mono_249,n,0.106623593,447.4553934,1639.456424,2072.984759,3155.129325,3155.129325,456.3794084,1493.157245,2038.579703,3146.714363,4828.306831,470.0317632,1356.292876,2222.135126,3126.871069,4816.357218,479.941083,1562.102196,2080.125742,3113.917534,NA,488.479162,1753.123456,1973.697611,3098.920714,NA,485.3659652,1725.540263,2272.17306,3063.536921,NA,486.2612304,1695.304635,2472.475603,3050.301402,NA,501.1494678,1655.809738,2330.070464,3114.382367,NA,494.5387112,1632.447733,2194.806172,3155.948397,NA,447.4553934,1639.456424,2072.984759,3155.129325,4950.215432,412.153232,1630.725451,2083.807254,3172.816875,4950.215432,390.0745091,1604.327919,2243.512295,3211.276678,NA,376.7945243,1581.665371,2307.126162,3243.30079,NA,369.4936074,1561.540882,2305.442523,3270.951612,NA,346.1608211,1540.190505,2319.779109,3265.089653,NA,316.5824264,1518.362554,2340.356766,3246.171966,4868.739316,317.7708052,1598.230181,2394.331659,3102.603361,4868.739316,324.6508037,1696.910718,2454.484788,3749.912605,NA,496.956597,1719.548026,2495.090445,3749.912605,NA,2502,1661,νασά_exp2_andri_louka_mono_249,n,107,246,272,293,49,51,52,452,1628,2181,nasa1,s6,CG,n,n,Initial,Unstressed
1683,1683,6736,6736,6736,νασά_exp2_andri_louka_mono_46,n,0.133574493,326.5140406,1339.356342,2367.984175,3098.500235,3098.500235,472.4215195,1382.445225,1787.41376,3076.130187,4465.127508,465.2677782,1550.64188,1940.486833,2963.482443,4487.185955,431.7522215,1679.760621,2475.358764,3904.201915,NA,400.0384534,1601.052977,2584.846996,4033.364221,NA,373.0313775,1258.1929,2111.867689,3021.869922,4448.89966,353.918255,1225.365726,2158.207122,2962.458221,4431.022071,339.9698401,1273.91985,2203.086146,3000.238559,4423.977711,331.8915734,1399.977153,2204.18178,3083.588457,4432.027492,326.5140406,1339.356342,2367.984175,3098.500235,4460.548195,312.0009724,1406.664584,2432.204685,3103.251645,4493.935934,286.0333977,1645.018466,2362.03711,3100.371469,4531.859672,278.6645559,1678.97236,2553.250427,3136.197352,4676.042994,275.0424,1700.266479,2780.381104,3239.814641,4735.362576,274.7730831,1719.104312,3034.445783,3422.76408,4685.673908,284.0572725,1741.122251,2940.223807,3182.097851,4636.974685,296.6936294,1725.501529,2735.676117,3087.17687,4556.813311,312.7667818,1665.295315,2419.856047,3245.702873,4312.977782,546.0029043,1685.258908,2266.162612,3245.702873,4312.977782,2508,1665,νασά_exp2_andri_louka_mono_46,n,134,232,262,284,50,54,57,375,1565,2236,nasa1,s6,CG,n,n,Initial,Unstressed
1723,1723,6896,6896,6896,νισά_exp2_andri_louka_mono_297,n,0.054065866,339.7368392,2615.096857,3044.031741,4696.961478,4696.961478,244.7672518,462.0616191,2640.072241,3144.173109,5403.962933,271.7710957,515.8481774,2637.700658,3130.393524,NA,298.7749396,569.6347357,2635.329074,3116.613939,NA,305.3067468,1014.26493,2740.666232,3113.598082,NA,306.1025535,1568.404466,2876.181989,3113.598082,NA,306.8983602,2122.544002,3011.697745,NA,NA,308.8927041,2630.638258,3132.484671,NA,NA,324.3147717,2622.867558,3088.258206,NA,NA,339.7368392,2615.096857,3044.031741,4696.961478,NA,355.1589068,2607.326157,2999.805277,4696.961478,NA,369.7779679,2604.921192,2970.209039,4679.634241,NA,383.1020574,2611.169301,2964.206297,4634.364166,NA,396.4261468,2617.417411,2958.203554,4589.094091,NA,409.7502362,2623.66552,2952.200812,4543.824016,NA,420.7414942,2637.039226,3017.599268,4518.867138,NA,430.6528207,2653.711565,3116.051296,4503.313797,NA,440.5641471,2670.383904,3214.503323,4472.207114,NA,450.4754736,2687.056243,3312.95535,4472.207114,NA,2748,1825,νισά_exp2_andri_louka_mono_297,n,54,229,239,270,50,52,53,366,2384,3050,nisa1,s6,CG,n,n,Initial,Unstressed
1724,1724,6900,6900,6900,νισά_exp2_andri_louka_mono_96,n,0.089920471,273.3203008,2041.678837,2836.823809,3255.891406,3255.891406,378.2121487,2173.754709,2956.742038,4177.848941,NA,350.4012379,2191.850938,2911.856343,4159.218994,NA,323.1284101,2207.048466,2864.027924,4142.810117,NA,310.1365931,2213.398194,2856.102553,4136.052986,NA,303.7499825,2215.655665,2866.63301,4133.75995,NA,296.3827134,2187.133019,2871.856624,4001.737625,NA,287.8622195,2122.413885,2870.83955,3717.157585,NA,279.8178755,2066.974219,2863.728995,3453.134664,NA,273.3203008,2041.678837,2836.823809,3255.891406,NA,266.8847131,2017.705202,2810.643988,3066.573554,NA,265.9266646,2110.529057,2848.561805,3577.592568,NA,264.9686161,2203.352912,2886.479622,4088.611582,NA,271.6243645,2378.973963,2859.683958,4180.794368,NA,280.3407439,2577.003607,2815.373959,4159.621501,NA,296.9194855,2667.410154,2863.579939,4206.220138,NA,319.6055833,2674.216812,2983.650844,4305.462589,NA,355.5502919,2688.888664,3094.25424,4372.634048,NA,417.3904167,2718.922039,3186.366631,4372.634048,NA,2754,1829,νισά_exp2_andri_louka_mono_96,n,90,243,252,265,53,55,58,322,2329,2933,nisa1,s6,CG,n,n,Initial,Unstressed
1764,1764,7060,7060,7060,ράσα_exp2_andri_louka_mono_224,r,0.026934272,726.6686648,1705.488149,2696.396299,3250.965047,3250.965047,685.43376,1681.04566,2794.503733,3193.219142,NA,689.8435456,1685.428967,2790.983639,3202.741,NA,696.3391614,1687.933566,2775.158635,3211.226723,NA,702.8347771,1690.438166,2759.333632,3219.712447,NA,709.3303928,1692.942766,2743.508628,3228.19817,NA,715.8260086,1695.447365,2727.683624,3236.683893,NA,722.3216243,1697.951965,2711.858621,3245.169616,NA,728.81724,1700.456565,2696.033617,3253.65534,NA,726.6686648,1705.488149,2696.396299,3250.965047,NA,711.8295997,1714.229588,2720.524036,3231.867307,NA,696.9905346,1722.971026,2744.651772,3212.769566,NA,682.1514694,1731.712464,2768.779508,3193.671825,NA,667.3124043,1740.453902,2792.907244,3174.574085,NA,652.4733392,1749.19534,2817.034981,3155.476344,NA,637.6342741,1757.936778,2841.162717,3136.378604,NA,622.7952089,1766.678216,2865.290453,3117.280863,NA,620.9339525,1765.282539,2857.184225,3142.015184,NA,619.34178,1763.676676,2848.409653,3142.015184,NA,2994,1989,ράσα_exp2_andri_louka_mono_224,r,27,227,256,302,40,47,49,667,1693,2698,rasa,s6,CG,r,r,Initial,Stressed
1765,1765,7064,7064,7064,ράσα_exp2_andri_louka_mono_23,r,0.014692607,669.1771716,1857.017217,2840.064045,3067.707126,3067.707126,693.2290103,1856.55116,2994.087725,3103.946069,4805.19153,695.6593136,1855.39486,2981.963227,3098.241682,4799.253205,698.0896168,1854.238561,2969.838729,3092.537295,4793.314879,700.5199201,1853.082261,2957.714231,3086.832909,4787.376554,699.8777269,1852.612345,2941.561215,3081.79228,4778.974015,692.2025881,1853.713563,2916.186923,3078.270991,4764.930892,684.5274493,1854.814781,2890.81263,3074.749703,4750.887768,676.8523105,1855.915999,2865.438338,3071.228415,4736.844645,669.1771716,1857.017217,2840.064045,3067.707126,4722.801522,661.5020328,1858.118435,2814.689753,3064.185838,4708.758398,653.826894,1859.219653,2789.31546,3060.66455,4694.715275,646.1517552,1860.32087,2763.941167,3057.143262,4680.672151,638.4766164,1861.422088,2738.566875,3053.621973,4666.629028,630.8014776,1862.523306,2713.192582,3050.100685,4652.585905,623.1263387,1863.624524,2687.81829,3046.579397,4638.542781,615.4511999,1864.725742,2662.443997,3043.058108,4624.499658,607.7760611,1865.82696,2637.069705,3036.015532,4596.413411,600.1009223,1866.928178,2611.695412,3036.015532,4596.413411,3000,1993,ράσα_exp2_andri_louka_mono_23,r,15,244,263,285,45,47,49,648,1834,2952,rasa,s6,CG,r,r,Initial,Stressed
1803,1803,7216,7216,7216,ρίσα_exp2_andri_louka_mono_274,r,0.035937962,707.2028108,2036.728383,2915.637501,4225.475765,4225.475765,616.43555,1977.298679,2716.097717,3038.888941,NA,643.5237955,1977.463639,2577.787504,2998.527734,4425.051329,670.612041,1977.628598,2439.477291,2958.166527,4425.051329,697.7002865,1977.793558,2301.167078,2917.805321,4425.051329,708.4098119,1985.515907,2332.709021,3073.756225,4425.051329,708.1080616,1998.319026,2478.441141,3361.68611,4425.051329,707.8063114,2011.122145,2624.173261,3649.615995,4425.051329,707.5045611,2023.925264,2769.905381,3937.54588,NA,707.2028108,2036.728383,2915.637501,4225.475765,NA,705.8901463,2046.303151,3051.638515,4495.119718,NA,674.8016725,1960.788949,2901.016237,4226.163638,NA,643.7131988,1875.274747,2750.393958,3957.207559,NA,612.624725,1789.760545,2599.771679,3688.251479,4575.041562,581.5362513,1704.246344,2449.149401,3419.295399,4575.041562,550.4477775,1618.732142,2298.527122,3150.339319,4575.041562,533.5075078,1624.636278,2239.876804,3003.504421,4569.656041,532.6702613,1734.589779,2285.905964,2987.823296,4546.62575,531.8330148,1844.543279,2331.935124,2987.823296,4546.62575,3228,2145,ρίσα_exp2_andri_louka_mono_274,r,36,255,265,287,45,48,50,599,1724,2249,risa,s6,CG,r,r,Initial,Stressed
