,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
1235,1235,1235,1235,m,71.78793753,59.48665837,490.5519367,354.4782548,24.32422506,867.2201351,s24,sami1,AG,Stressed
1274,1274,1274,1274,m,69.31432084,57.88528845,582.4887319,433.7203443,23.89770595,794.6446752,s24,sami,AG,Stressed
1275,1275,1275,1275,m,72.21899674,58.57030323,619.4662261,761.0042814,15.95826802,321.0345878,s24,sami,AG,Stressed
1640,1640,1640,1640,n,61.99960356,52.87544637,620.5780477,823.6571502,15.00048964,281.9207278,s24,nasa1,AG,Unstressed
1641,1641,1641,1641,n,70.00168573,55.80316067,658.9644977,440.9047999,10.58969764,212.6036799,s24,nasa1,AG,Unstressed
1680,1680,1680,1680,n,94.23939741,58.28614056,815.3948284,936.5518754,9.40403556,135.6946119,s24,nasa,AG,Stressed
1681,1681,1681,1681,n,90.75088639,58.21038349,1008.024359,989.5396238,7.161795933,80.9201327,s24,nasa,AG,Stressed
1720,1720,1720,1720,n,81.88907638,59.67284277,529.0163916,356.1829439,25.84352744,946.0271381,s24,nisa1,AG,Unstressed
1721,1721,1721,1721,n,78.69816345,56.84430206,700.7427125,534.6880328,11.43632782,206.3003606,s24,nisa1,AG,Unstressed
1759,1759,1759,1759,n,96.93431351,53.1333687,684.4169058,857.4607929,11.36656968,181.0729051,s24,nisa,AG,Stressed
1760,1760,1760,1760,n,102.5941884,59.47125731,648.6120744,479.7772471,21.99958829,673.6291346,s24,nisa,AG,Stressed
1797,1797,1797,1797,n,70.90592407,60.07319508,432.5678221,274.4403766,34.95336344,1792.176363,s24,sana1,AG,Stressed
1798,1798,1798,1798,n,82.12009519,59.80499163,478.514629,314.0622507,31.01525666,1432.534936,s24,sana1,AG,Stressed
1824,1824,1824,1824,n,79.7459537,55.05532519,586.5219319,372.9380459,15.95424896,423.4150366,s24,sana,AG,Stressed
1825,1825,1825,1825,n,66.8871259,58.04625098,523.641335,362.7014273,17.4450856,488.2425811,s24,sana,AG,Stressed
